Frequency,Height of Transmitter,Height of Receiver,Gain of Transmitter,Gain of Receiver,Transmitted Power,Angle,No of Trees,Radius of Canopy,Height,Trunk Height,Trunk Radius,Vd,Distance,theta,Pathloss
2.4,1.0,1.5,4,3,20,360,3,3.0,6.8,1.36,0.204,0.803773185,28.2,0.0,83
2.4,1.0,1.5,4,3,20,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49
2.4,1.0,1.5,4,3,20,45,0,0.0,0.0,0.0,0.0,0.0,6.3,19.541372930653665,50
2.4,1.0,1.5,4,3,20,90,0,0.0,0.0,0.0,0.0,0.0,8.3,19.872175843250396,52
2.4,1.0,1.5,4,3,20,135,1,3.0,7.5,1.5,0.225,0.268354167,10.5,10.992715086896586,58
2.4,1.0,1.5,4,3,20,180,1,3.0,7.5,1.5,0.225,0.268354167,11.9,0.0,64
2.4,1.0,1.5,4,3,20,225,1,3.0,7.5,1.5,0.225,0.268354167,10.5,10.992715086896586,60
2.4,1.0,1.5,4,3,20,270,0,0.0,0.0,0.0,0.0,0.0,8.3,19.872175843250396,59
2.4,1.0,1.5,4,3,20,315,0,0.0,0.0,0.0,0.0,0.0,6.3,19.541372930653665,55
2.4,1.0,1.5,4,3,20,360,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49
2.4,1.0,1.5,4,3,20,0,1,3.0,7.5,1.5,0.225,0.268354167,11.9,0.0,64
2.4,1.0,1.5,4,3,20,45,1,3.0,7.5,1.5,0.225,0.268354167,14.4,11.280399029296717,68
2.4,1.0,1.5,4,3,20,90,1,3.0,7.5,1.5,0.225,0.268354167,16.4,12.04703048205618,66
2.4,1.0,1.5,4,3,20,135,2,3.5,7.5,1.5,0.225,0.535812926,18.5,8.606473525173461,68
2.4,1.0,1.5,4,3,20,180,2,3.5,7.5,1.5,0.225,0.535812926,20.2,0.0,76
2.4,1.0,1.5,4,3,20,225,2,3.5,7.5,1.5,0.225,0.535812926,18.5,8.606473525173461,73
2.4,1.0,1.5,4,3,20,270,1,3.0,7.5,1.5,0.225,0.268354167,16.4,12.04703048205618,70
2.4,1.0,1.5,4,3,20,315,1,3.0,7.5,1.5,0.225,0.268354167,14.4,11.280399029296717,69
2.4,1.0,1.5,4,3,20,360,1,3.0,7.5,1.5,0.225,0.268354167,11.9,0.0,64
2.4,1.0,1.5,4,3,20,0,2,3.5,7.5,1.5,0.225,0.535812926,20.2,0.0,76
2.4,1.0,1.5,4,3,20,45,2,3.5,7.5,1.5,0.225,0.535812926,23.2,5.906141141117763,73
2.4,1.0,1.5,4,3,20,90,2,3.5,7.5,1.5,0.225,0.535812926,25.0,6.842773411580225,75
2.4,1.0,1.5,4,3,20,135,3,3.0,7.0,1.4,0.21,0.804116001,27.1,4.520196971995535,79
2.4,1.0,1.5,4,3,20,180,3,3.0,7.0,1.4,0.21,0.804116001,28.8,0.0,82
2.4,1.0,1.5,4,3,20,225,3,3.0,7.0,1.4,0.21,0.804116001,27.1,4.520196971995535,81
2.4,1.0,1.5,4,3,20,270,2,3.5,7.5,1.5,0.225,0.535812926,25.0,6.842773411580225,77
2.4,1.0,1.5,4,3,20,315,2,3.5,7.5,1.5,0.225,0.535812926,23.2,5.906141141117763,75
2.4,1.0,1.5,4,3,20,360,2,3.5,7.5,1.5,0.225,0.535812926,20.2,0.0,76
2.4,1.0,1.5,4,3,20,0,3,3.0,7.0,1.4,0.21,0.804116001,28.8,0.0,82
2.4,1.0,1.5,4,3,20,45,3,3.0,7.0,1.4,0.21,0.804116001,30.9,5.32739034160771,80
2.4,1.0,1.5,4,3,20,90,3,3.0,7.0,1.4,0.21,0.804116001,33.3,6.425158225696451,85
2.4,1.0,1.5,4,3,20,135,4,3.75,7.5,1.5,0.225,1.070986668,36.3,3.546853634021435,88
2.4,1.0,1.5,4,3,20,180,4,3.75,7.5,1.5,0.225,1.070986668,37.7,0.0,91
2.4,1.0,1.5,4,3,20,225,4,3.75,7.5,1.5,0.225,1.070986668,36.3,3.546853634021435,92
2.4,1.0,1.5,4,3,20,270,3,3.0,7.0,1.4,0.21,0.804116001,33.3,6.425158225696451,86
2.4,1.0,1.5,4,3,20,315,3,3.0,7.0,1.4,0.21,0.804116001,30.9,5.32739034160771,81
2.4,1.0,1.5,4,3,20,360,3,3.0,7.0,1.4,0.21,0.804116001,28.8,0.0,82
